[2016-07-12 08:55:21 224 f9ffb700] [5eed:5c67a8a4] (N=2,name=md_cna:role=md_server) 上线
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:秒:12)
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:1)
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:5)
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:10)
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:15)
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:30)
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:小时:1)
[2016-07-12 08:55:21 235 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(kline:日:1)
[2016-07-12 08:55:21 236 f9ffb700] 注册data插件 input=(sys::def:tick:0) output=(normalize:normalize:0)
[2016-07-12 08:55:41 264 f9ffb700] [5eec:5c67a8a5] (N=12,name=strategy_proxy:role=proxy) 上线
[2016-07-12 08:55:41 264 f9ffb700] strategy_proxy 订阅所有股票行情
