[2016-07-14 13:24:48 447 77fff700] [ed2e:40ddc649] (N=2,name=md_cna:role=md_server) 下线
[2016-07-14 13:24:52 828 40ff9700] [2393:56121f46] (N=2,name=md_cna:role=md_server) 上线
[2016-07-14 13:24:52 851 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:秒:12)
[2016-07-14 13:24:52 851 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:1)
[2016-07-14 13:24:52 851 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:5)
[2016-07-14 13:24:52 851 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:10)
[2016-07-14 13:24:52 851 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:15)
[2016-07-14 13:24:52 852 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:分钟:30)
[2016-07-14 13:24:52 852 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:小时:1)
[2016-07-14 13:24:52 852 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:日:1)
[2016-07-14 13:24:52 852 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:周:1)
[2016-07-14 13:24:52 852 40ff9700] 注册data插件 input=(sys::def:tick:0) output=(kline:月:1)
[2016-07-14 13:25:28 360 40ff9700] [2393:56121f46] (N=2,name=md_cna:role=md_server) 下线
[2016-07-14 13:25:28 360 40ff9700] [2393:56121f47] (N=2,name=md_cna:role=md_server) 上线
[2016-07-14 13:25:28 374 277fe700] E15_udcp_handler busy queue=4096
[2016-07-14 13:25:28 382 40ff9700] [2393:56121f47] (N=2,name=md_cna:role=md_server) 下线
[2016-07-14 13:25:29 386 40ff9700] [2393:56121f48] (N=2,name=md_cna:role=md_server) 上线
