[2016-07-27 11:09:36 403 1db3a700] [00001dd3:62188266] 启动同步请求，时间戳=0
[2016-07-27 11:09:36 403 1db3a700] [0x00001dd3:62188266] 在状态(),收到事件(0x00000008:1)
[2016-07-27 11:09:36 403 1db3a700] [0x00001dd3:62188266] 状态迁移()---(0x00000008:1)-->(user_syn)
[2016-07-27 11:09:36 403 1db3a700] [00001dd2:62188267] 启动同步请求，时间戳=0
[2016-07-27 11:09:36 403 1db3a700] [0x00001dd2:62188267] 在状态(),收到事件(0x00000008:1)
[2016-07-27 11:09:36 403 1db3a700] [0x00001dd2:62188267] 状态迁移()---(0x00000008:1)-->(user_syn)
[2016-07-27 11:09:36 403 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x00000009:2)
[2016-07-27 11:09:36 403 1db3a700] [0x00001dd2:62188267] 状态迁移(user_syn)---(0x00000009:2)-->(data_master)
[2016-07-27 11:09:36 403 1db3a700] [00001dd2:62188267] 192.168.1.110:8009 syn ok ,remoteid = [0000aeb3:1adecc78]，time dalay=0(ms),first(sendseq=2e0fdbeb:recvseq=5aa5ef3e),remote timestamp=132882260
[2016-07-27 11:09:36 404 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x00000009:2)
[2016-07-27 11:09:36 404 1db3a700] [0x00001dd3:62188266] 状态迁移(user_syn)---(0x00000009:2)-->(data_master)
[2016-07-27 11:09:36 404 1db3a700] [00001dd3:62188266] 192.168.1.110:8010 syn ok ,remoteid = [0000c7d3:56bab042]，time dalay=0(ms),first(sendseq=1f52855b:recvseq=3a729e89),remote timestamp=132882860
[2016-07-27 11:13:06 423 1db3a700] [0x00001dd2:62188267] 在状态(data_master),收到事件(0x0000000e:1)
[2016-07-27 11:13:06 424 1db3a700] [0x00001dd2:62188267] 状态迁移(data_master)---(0x0000000e:1)-->(reconnect?)
[2016-07-27 11:13:06 425 1db3a700] [0x00001dd3:62188266] 在状态(data_master),收到事件(0x0000000e:1)
[2016-07-27 11:13:06 426 1db3a700] [0x00001dd3:62188266] 状态迁移(data_master)---(0x0000000e:1)-->(reconnect?)
[2016-07-27 11:13:07 435 1db3a700] [0x00001dd2:62188267] 在状态(reconnect?),收到事件(0x0000000b:1)
[2016-07-27 11:13:07 435 1db3a700] [0x00001dd2:62188267] 状态迁移(reconnect?)---(0x0000000b:1)-->(user_syn)
[2016-07-27 11:13:07 435 1db3a700] [0x00001dd3:62188266] 在状态(reconnect?),收到事件(0x0000000b:1)
[2016-07-27 11:13:07 435 1db3a700] [0x00001dd3:62188266] 状态迁移(reconnect?)---(0x0000000b:1)-->(user_syn)
[2016-07-27 11:13:07 647 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:1)
[2016-07-27 11:13:07 648 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:1)
[2016-07-27 11:13:07 850 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:2)
[2016-07-27 11:13:07 850 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:2)
[2016-07-27 11:13:08 052 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:3)
[2016-07-27 11:13:08 053 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:3)
[2016-07-27 11:13:08 244 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:4)
[2016-07-27 11:13:08 244 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:4)
[2016-07-27 11:13:08 447 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:5)
[2016-07-27 11:13:08 447 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:5)
[2016-07-27 11:13:08 649 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:6)
[2016-07-27 11:13:08 650 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:6)
[2016-07-27 11:13:08 852 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:7)
[2016-07-27 11:13:08 852 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:7)
[2016-07-27 11:13:09 045 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:8)
[2016-07-27 11:13:09 045 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:8)
[2016-07-27 11:13:09 246 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:9)
[2016-07-27 11:13:09 247 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:9)
[2016-07-27 11:13:09 448 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:10)
[2016-07-27 11:13:09 449 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:10)
[2016-07-27 11:13:09 571 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 571 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 571 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 572 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 573 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 574 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 574 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 575 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 575 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 575 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 575 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 575 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 576 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 576 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 576 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 11:13:09 576 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 11:13:09 576 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


