[2016-07-27 13:13:09 966 1db3a700] [00000474:2e9269fd] 收到时间同步消息，通信延迟约 0 ms
[2016-07-27 13:30:22 765 1db3a700] [0x00001dd3:62188266] 在状态(data_master),收到事件(0x0000000e:1)
[2016-07-27 13:30:22 839 1db3a700] [0x00001dd3:62188266] 状态迁移(data_master)---(0x0000000e:1)-->(reconnect?)
[2016-07-27 13:30:22 856 1db3a700] [0x00001dd2:62188267] 在状态(data_master),收到事件(0x0000000e:1)
[2016-07-27 13:30:22 857 1db3a700] [0x00001dd2:62188267] 状态迁移(data_master)---(0x0000000e:1)-->(reconnect?)
[2016-07-27 13:30:23 849 1db3a700] [0x00001dd3:62188266] 在状态(reconnect?),收到事件(0x0000000b:1)
[2016-07-27 13:30:23 849 1db3a700] [0x00001dd3:62188266] 状态迁移(reconnect?)---(0x0000000b:1)-->(user_syn)
[2016-07-27 13:30:23 869 1db3a700] [0x00001dd2:62188267] 在状态(reconnect?),收到事件(0x0000000b:1)
[2016-07-27 13:30:23 869 1db3a700] [0x00001dd2:62188267] 状态迁移(reconnect?)---(0x0000000b:1)-->(user_syn)
[2016-07-27 13:30:24 061 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:1)
[2016-07-27 13:30:24 081 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:1)
[2016-07-27 13:30:24 253 1db3a700] [0x00001dd3:62188266] 在状态(user_syn),收到事件(0x0000000a:2)
[2016-07-27 13:30:24 274 1db3a700] [0x00001dd2:62188267] 在状态(user_syn),收到事件(0x0000000a:2)
[2016-07-27 13:30:24 333 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 333 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 333 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 333 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 333 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 333 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 333 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 334 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 334 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 334 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 334 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 334 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 334 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 334 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 335 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 335 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 335 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 335 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 335 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 335 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 335 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 336 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 336 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 336 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 336 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 336 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 336 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 336 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 337 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 338 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 339 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 340 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 341 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 342 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 343 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 344 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 345 1db3a700] [00001dd2:62188267] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 346 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


[2016-07-27 13:30:24 346 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=8,验证码不正确


[2016-07-27 13:30:24 346 1db3a700] [00001dd3:62188266] 收到[::ffff:192.168.1.110:8010] 包,cmd=a,验证码不正确


