[2016-07-27 14:32:49 179 2b7fe700] [0x0000a8d2:66e4b8c3] 在状态(data_master),收到事件(0x0000000e:1)
[2016-07-27 14:32:49 180 2b7fe700] [0x0000a8d2:66e4b8c3] 状态迁移(data_master)---(0x0000000e:1)-->(reconnect?)
[2016-07-27 14:32:50 193 2b7fe700] [0x0000a8d2:66e4b8c3] 在状态(reconnect?),收到事件(0x0000000b:1)
[2016-07-27 14:32:50 193 2b7fe700] [0x0000a8d2:66e4b8c3] 状态迁移(reconnect?)---(0x0000000b:1)-->(user_syn)
[2016-07-27 14:32:50 405 2b7fe700] [0x0000a8d2:66e4b8c3] 在状态(user_syn),收到事件(0x0000000a:1)
[2016-07-27 14:32:50 598 2b7fe700] [0x0000a8d2:66e4b8c3] 在状态(user_syn),收到事件(0x0000000a:2)
[2016-07-27 14:32:50 801 2b7fe700] [0x0000a8d2:66e4b8c3] 在状态(user_syn),收到事件(0x0000000a:3)
[2016-07-27 14:32:51 004 2b7fe700] [0x0000a8d2:66e4b8c3] 在状态(user_syn),收到事件(0x0000000a:4)
[2016-07-27 14:32:51 196 2b7fe700] [0x0000a8d2:66e4b8c3] 在状态(user_syn),收到事件(0x0000000a:5)
[2016-07-27 14:32:51 223 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 223 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 227 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 227 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 227 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 227 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 228 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 228 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 228 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 228 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 229 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 229 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 229 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 229 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 230 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 230 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 230 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 230 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 231 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 231 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 231 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 231 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 232 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 232 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


[2016-07-27 14:32:51 233 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=8,验证码不正确


[2016-07-27 14:32:51 233 2b7fe700] [0000a8d2:66e4b8c3] 收到[::ffff:192.168.1.110:8009] 包,cmd=a,验证码不正确


