合约:ni1609[国内期货];指标:12秒kline;序号:610;开平:开仓;方向:买;信号:1;行情时点:20160729#101303000;本地时点:20160729#101303220;价格模型:限价单#814000000
合约:ni1609[国内期货];指标:12秒kline;序号:611;开平:开仓;方向:卖;信号:1;行情时点:20160729#101304000;本地时点:20160729#101304259;价格模型:限价单#813900000
合约:ni1609[国内期货];指标:12秒kline;序号:611;开平:开仓;方向:卖;信号:1;行情时点:20160729#101305500;本地时点:20160729#101305726;价格模型:限价单#813700000
合约:ni1609[国内期货];指标:12秒kline;序号:611;开平:开仓;方向:买;信号:1;行情时点:20160729#101307000;本地时点:20160729#101307241;价格模型:限价单#813900000
合约:ni1609[国内期货];指标:12秒kline;序号:611;开平:开仓;方向:买;信号:1;行情时点:20160729#101309500;本地时点:20160729#101309834;价格模型:限价单#813900000
合约:ni1609[国内期货];指标:12秒kline;序号:611;开平:开仓;方向:卖;信号:1;行情时点:20160729#101310500;本地时点:20160729#101310718;价格模型:限价单#813900000
合约:ni1609[国内期货];指标:12秒kline;序号:612;开平:开仓;方向:买;信号:1;行情时点:20160729#101312000;本地时点:20160729#101312224;价格模型:限价单#813800000
合约:ni1609[国内期货];指标:12秒kline;序号:612;开平:开仓;方向:卖;信号:1;行情时点:20160729#101313500;本地时点:20160729#101313907;价格模型:限价单#813600000
合约:ni1609[国内期货];指标:12秒kline;序号:612;开平:开仓;方向:买;信号:1;行情时点:20160729#101314500;本地时点:20160729#101314974;价格模型:限价单#813600000
合约:ni1609[国内期货];指标:12秒kline;序号:612;开平:开仓;方向:卖;信号:1;行情时点:20160729#101315500;本地时点:20160729#101315717;价格模型:限价单#813700000
合约:ni1609[国内期货];指标:12秒kline;序号:613;开平:开仓;方向:买;信号:1;行情时点:20160729#101317000;本地时点:20160729#101317238;价格模型:限价单#813800000
合约:ni1609[国内期货];指标:12秒kline;序号:613;开平:开仓;方向:卖;信号:1;行情时点:20160729#101317500;本地时点:20160729#101317940;价格模型:限价单#813700000
合约:ni1609[国内期货];指标:12秒kline;序号:613;开平:开仓;方向:买;信号:1;行情时点:20160729#101320500;本地时点:20160729#101320769;价格模型:限价单#813600000
合约:ni1609[国内期货];指标:12秒kline;序号:613;开平:开仓;方向:卖;信号:1;行情时点:20160729#101322500;本地时点:20160729#101322941;价格模型:限价单#813500000
合约:ni1609[国内期货];指标:12秒kline;序号:614;开平:开仓;方向:买;信号:1;行情时点:20160729#101324000;本地时点:20160729#101324220;价格模型:限价单#813600000
合约:ni1609[国内期货];指标:12秒kline;序号:614;开平:开仓;方向:卖;信号:1;行情时点:20160729#101325500;本地时点:20160729#101325933;价格模型:限价单#813700000
合约:ni1609[国内期货];指标:12秒kline;序号:614;开平:开仓;方向:卖;信号:1;行情时点:20160729#101326500;本地时点:20160729#101326746;价格模型:限价单#813600000
合约:ni1609[国内期货];指标:12秒kline;序号:614;开平:开仓;方向:买;信号:1;行情时点:20160729#101327000;本地时点:20160729#101327356;价格模型:限价单#813800000
合约:ni1609[国内期货];指标:12秒kline;序号:614;开平:开仓;方向:买;信号:1;行情时点:20160729#101327500;本地时点:20160729#101327921;价格模型:限价单#813800000
合约:ni1609[国内期货];指标:12秒kline;序号:615;开平:开仓;方向:卖;信号:1;行情时点:20160729#101328000;本地时点:20160729#101328390;价格模型:限价单#813700000
合约:ni1609[国内期货];指标:12秒kline;序号:615;开平:开仓;方向:卖;信号:1;行情时点:20160729#101329000;本地时点:20160729#101329361;价格模型:限价单#813700000
合约:ni1609[国内期货];指标:12秒kline;序号:615;开平:开仓;方向:买;信号:1;行情时点:20160729#101329500;本地时点:20160729#101329748;价格模型:限价单#813700000
合约:ni1609[国内期货];指标:12秒kline;序号:615;开平:开仓;方向:卖;信号:1;行情时点:20160729#101333000;本地时点:20160729#101333219;价格模型:限价单#813700000
